episode,done,steps,return,epsilon,num_states
0,0,2000,0.0,1.0,99
1,0,2000,0.0,0.995,168
2,0,2000,0.0,0.990025,326
3,0,2000,0.0,0.985074875,354
4,0,2000,0.0,0.9801495006250001,461
5,1,1424,1.0,0.9752487531218751,523
6,0,2000,0.0,0.9703725093562657,544
7,0,2000,0.0,0.9655206468094844,549
8,0,2000,0.0,0.960693043575437,581
9,0,2000,0.0,0.9558895783575597,625
10,0,2000,0.0,0.9511101304657719,713
11,0,2000,0.0,0.946354579813443,737
12,1,828,1.0,0.9416228069143757,756
13,0,2000,0.0,0.9369146928798039,803
14,0,2000,0.0,0.9322301194154049,824
15,1,1742,1.0,0.9275689688183278,915
16,0,2000,0.0,0.9229311239742362,915
17,0,2000,0.0,0.918316468354365,953
18,1,1950,1.0,0.9137248860125932,992
19,1,1786,1.0,0.9091562615825302,1067
20,1,438,1.0,0.9046104802746175,1068
21,1,772,1.0,0.9000874278732445,1068
22,0,2000,0.0,0.8955869907338783,1081
23,1,1744,1.0,0.8911090557802088,1081
24,0,2000,0.0,0.8866535105013078,1137
25,1,922,1.0,0.8822202429488013,1152
26,1,1884,1.0,0.8778091417340573,1159
27,1,1396,1.0,0.8734200960253871,1168
28,1,1372,1.0,0.8690529955452602,1168
29,1,1766,1.0,0.8647077305675338,1219
30,1,884,1.0,0.8603841919146962,1230
31,1,286,1.0,0.8560822709551227,1237
32,1,726,1.0,0.851801859600347,1243
33,1,274,1.0,0.8475428503023453,1243
34,1,216,1.0,0.8433051360508336,1243
35,1,96,1.0,0.8390886103705794,1243
36,1,1208,1.0,0.8348931673187264,1248
37,1,902,1.0,0.8307187014821328,1248
38,1,1124,1.0,0.8265651079747222,1258
39,1,116,1.0,0.8224322824348486,1258
40,1,308,1.0,0.8183201210226743,1260
41,1,158,1.0,0.8142285204175609,1260
42,1,182,1.0,0.810157377815473,1260
43,1,138,1.0,0.8061065909263957,1260
44,1,316,1.0,0.8020760579717637,1260
45,1,548,1.0,0.798065677681905,1264
46,1,198,1.0,0.7940753492934954,1269
47,1,486,1.0,0.7901049725470279,1269
48,0,2000,0.0,0.7861544476842928,1274
49,1,440,1.0,0.7822236754458713,1274
50,1,314,1.0,0.778312557068642,1277
51,1,182,1.0,0.7744209942832988,1277
52,1,156,1.0,0.7705488893118823,1277
53,1,116,1.0,0.7666961448653229,1277
54,1,190,1.0,0.7628626641409962,1283
55,1,120,1.0,0.7590483508202912,1283
56,1,108,1.0,0.7552531090661897,1283
57,1,1110,1.0,0.7514768435208588,1283
58,1,316,1.0,0.7477194593032545,1283
59,1,192,1.0,0.7439808620067382,1283
60,1,160,1.0,0.7402609576967045,1283
61,1,102,1.0,0.736559652908221,1283
62,1,132,1.0,0.7328768546436799,1283
63,1,68,1.0,0.7292124703704616,1283
64,1,236,1.0,0.7255664080186093,1283
65,1,220,1.0,0.7219385759785162,1283
66,1,158,1.0,0.7183288830986236,1283
67,1,136,1.0,0.7147372386831305,1285
68,1,108,1.0,0.7111635524897149,1285
69,1,38,1.0,0.7076077347272662,1285
70,1,68,1.0,0.7040696960536299,1285
71,1,118,1.0,0.7005493475733617,1285
72,1,58,1.0,0.697046600835495,1285
73,1,110,1.0,0.6935613678313175,1285
74,1,88,1.0,0.6900935609921609,1285
75,0,2000,0.0,0.6866430931872001,1285
76,1,166,1.0,0.6832098777212641,1285
77,1,198,1.0,0.6797938283326578,1285
78,1,68,1.0,0.6763948591909945,1285
79,1,64,1.0,0.6730128848950395,1285
80,1,80,1.0,0.6696478204705644,1285
81,1,42,1.0,0.6662995813682115,1285
82,1,90,1.0,0.6629680834613705,1285
83,1,84,1.0,0.6596532430440636,1285
84,1,70,1.0,0.6563549768288433,1285
85,1,782,1.0,0.653073201944699,1293
86,1,162,1.0,0.6498078359349755,1293
87,1,104,1.0,0.6465587967553006,1293
88,1,90,1.0,0.6433260027715241,1293
89,1,50,1.0,0.6401093727576664,1293
90,1,36,1.0,0.6369088258938781,1293
91,1,66,1.0,0.6337242817644086,1293
92,1,82,1.0,0.6305556603555866,1293
93,1,58,1.0,0.6274028820538087,1293
94,1,64,1.0,0.6242658676435396,1293
95,1,102,1.0,0.6211445383053219,1293
96,1,50,1.0,0.6180388156137953,1293
97,1,54,1.0,0.6149486215357263,1293
98,1,174,1.0,0.6118738784280476,1293
99,1,90,1.0,0.6088145090359074,1293
100,1,94,1.0,0.6057704364907278,1293
101,1,60,1.0,0.6027415843082742,1293
102,1,72,1.0,0.5997278763867329,1293
103,1,42,1.0,0.5967292370047992,1293
104,1,58,1.0,0.5937455908197752,1293
105,1,32,1.0,0.5907768628656763,1293
106,1,48,1.0,0.5878229785513479,1293
107,1,50,1.0,0.5848838636585911,1293
108,1,86,1.0,0.5819594443402982,1293
109,1,52,1.0,0.5790496471185967,1293
110,1,52,1.0,0.5761543988830038,1293
111,1,34,1.0,0.5732736268885887,1293
112,1,80,1.0,0.5704072587541458,1293
113,1,30,1.0,0.567555222460375,1293
114,1,44,1.0,0.5647174463480732,1293
115,1,46,1.0,0.5618938591163328,1293
116,1,60,1.0,0.5590843898207511,1293
117,1,54,1.0,0.5562889678716474,1293
118,1,44,1.0,0.5535075230322891,1293
119,1,66,1.0,0.5507399854171277,1293
120,1,30,1.0,0.547986285490042,1293
121,1,64,1.0,0.5452463540625918,1293
122,1,44,1.0,0.5425201222922789,1293
123,1,54,1.0,0.5398075216808175,1293
124,1,68,1.0,0.5371084840724134,1293
125,1,24,1.0,0.5344229416520513,1293
126,1,42,1.0,0.531750826943791,1293
127,1,58,1.0,0.5290920728090721,1293
128,1,52,1.0,0.5264466124450268,1293
129,1,84,1.0,0.5238143793828016,1293
130,1,48,1.0,0.5211953074858876,1293
131,1,46,1.0,0.5185893309484582,1293
132,1,52,1.0,0.5159963842937159,1293
133,1,74,1.0,0.5134164023722473,1293
134,1,42,1.0,0.510849320360386,1293
135,1,50,1.0,0.5082950737585841,1293
136,1,66,1.0,0.5057535983897912,1293
137,1,62,1.0,0.5032248303978422,1293
138,1,68,1.0,0.500708706245853,1293
139,1,38,1.0,0.4982051627146237,1293
140,1,104,1.0,0.49571413690105054,1293
141,1,54,1.0,0.4932355662165453,1293
142,1,30,1.0,0.4907693883854626,1293
143,1,44,1.0,0.4883155414435353,1293
144,1,52,1.0,0.4858739637363176,1293
145,1,36,1.0,0.483444593917636,1293
146,1,40,1.0,0.4810273709480478,1293
147,1,36,1.0,0.47862223409330756,1293
148,1,32,1.0,0.47622912292284103,1293
149,1,32,1.0,0.4738479773082268,1293
150,1,44,1.0,0.47147873742168567,1293
151,1,56,1.0,0.46912134373457726,1293
152,1,36,1.0,0.46677573701590436,1293
153,1,30,1.0,0.46444185833082485,1293
154,1,62,1.0,0.46211964903917074,1293
155,1,36,1.0,0.4598090507939749,1293
156,1,50,1.0,0.457510005540005,1293
157,1,32,1.0,0.45522245551230495,1293
158,1,44,1.0,0.4529463432347434,1293
159,1,36,1.0,0.4506816115185697,1293
160,1,34,1.0,0.4484282034609769,1293
161,1,32,1.0,0.446186062443672,1293
162,1,50,1.0,0.4439551321314536,1293
163,1,38,1.0,0.4417353564707963,1293
164,1,54,1.0,0.43952667968844233,1293
165,1,26,1.0,0.43732904629000013,1293
166,1,34,1.0,0.4351424010585501,1293
167,1,32,1.0,0.43296668905325736,1293
168,1,26,1.0,0.43080185560799106,1293
169,1,40,1.0,0.4286478463299511,1293
170,1,58,1.0,0.42650460709830135,1293
171,1,28,1.0,0.42437208406280985,1293
172,1,42,1.0,0.4222502236424958,1293
173,1,36,1.0,0.42013897252428334,1293
174,1,44,1.0,0.4180382776616619,1293
175,1,34,1.0,0.4159480862733536,1293
176,1,28,1.0,0.41386834584198684,1293
177,1,50,1.0,0.4117990041127769,1293
178,1,28,1.0,0.40974000909221303,1293
179,1,32,1.0,0.40769130904675194,1293
180,1,52,1.0,0.40565285250151817,1293
181,1,38,1.0,0.4036245882390106,1293
182,1,28,1.0,0.4016064652978155,1293
183,1,36,1.0,0.3995984329713264,1293
184,1,30,1.0,0.3976004408064698,1293
185,1,28,1.0,0.39561243860243744,1293
186,1,54,1.0,0.3936343764094253,1293
187,1,48,1.0,0.39166620452737816,1293
188,1,36,1.0,0.3897078735047413,1293
189,1,42,1.0,0.3877593341372176,1293
190,1,40,1.0,0.3858205374665315,1293
191,1,32,1.0,0.38389143477919885,1293
192,1,38,1.0,0.3819719776053028,1293
193,1,32,1.0,0.3800621177172763,1293
194,1,50,1.0,0.37816180712868996,1293
195,1,38,1.0,0.37627099809304654,1293
196,1,36,1.0,0.3743896431025813,1293
197,1,40,1.0,0.37251769488706843,1293
198,1,32,1.0,0.3706551064126331,1293
199,1,42,1.0,0.36880183088056995,1293
200,1,44,1.0,0.3669578217261671,1293
201,1,32,1.0,0.36512303261753626,1293
202,1,26,1.0,0.3632974174544486,1293
203,1,38,1.0,0.3614809303671764,1293
204,1,26,1.0,0.3596735257153405,1293
205,1,32,1.0,0.3578751580867638,1293
206,1,30,1.0,0.35608578229633,1293
207,1,24,1.0,0.3543053533848483,1293
208,1,32,1.0,0.35253382661792404,1293
209,1,34,1.0,0.3507711574848344,1293
210,1,40,1.0,0.34901730169741024,1293
211,1,32,1.0,0.3472722151889232,1293
212,1,36,1.0,0.3455358541129786,1293
213,1,36,1.0,0.3438081748424137,1293
214,1,32,1.0,0.3420891339682016,1293
215,1,24,1.0,0.3403786882983606,1293
216,1,32,1.0,0.3386767948568688,1293
217,1,34,1.0,0.33698341088258443,1293
218,1,38,1.0,0.3352984938281715,1293
219,1,54,1.0,0.33362200135903064,1293
220,1,40,1.0,0.33195389135223546,1293
221,1,26,1.0,0.3302941218954743,1293
222,1,34,1.0,0.32864265128599696,1293
223,1,36,1.0,0.326999438029567,1293
224,1,42,1.0,0.3253644408394192,1293
225,1,30,1.0,0.3237376186352221,1293
226,1,36,1.0,0.322118930542046,1293
227,1,42,1.0,0.32050833588933575,1293
228,1,44,1.0,0.31890579420988907,1293
229,1,26,1.0,0.3173112652388396,1293
230,1,24,1.0,0.3157247089126454,1293
231,1,40,1.0,0.3141460853680822,1293
232,1,36,1.0,0.3125753549412418,1293
233,1,24,1.0,0.31101247816653554,1293
234,1,30,1.0,0.30945741577570285,1293
235,1,22,1.0,0.3079101286968243,1293
236,1,22,1.0,0.3063705780533402,1293
237,1,38,1.0,0.30483872516307353,1293
238,1,30,1.0,0.3033145315372582,1293
239,1,46,1.0,0.3017979588795719,1293
240,1,34,1.0,0.30028896908517405,1293
241,1,22,1.0,0.2987875242397482,1293
242,1,34,1.0,0.29729358661854943,1293
243,1,32,1.0,0.29580711868545667,1293
244,1,24,1.0,0.2943280830920294,1293
245,1,26,1.0,0.29285644267656924,1293
246,1,32,1.0,0.2913921604631864,1293
247,1,30,1.0,0.28993519966087045,1293
248,1,26,1.0,0.2884855236625661,1293
249,1,48,1.0,0.28704309604425327,1293
250,1,34,1.0,0.285607880564032,1293
251,1,38,1.0,0.28417984116121187,1293
252,1,26,1.0,0.2827589419554058,1293
253,1,40,1.0,0.28134514724562876,1293
254,1,26,1.0,0.2799384215094006,1293
255,1,32,1.0,0.27853872940185365,1293
256,1,42,1.0,0.27714603575484437,1293
257,1,28,1.0,0.2757603055760701,1293
258,1,32,1.0,0.2743815040481898,1293
259,1,38,1.0,0.2730095965279488,1293
260,1,28,1.0,0.27164454854530906,1293
261,1,30,1.0,0.2702863258025825,1293
262,1,22,1.0,0.2689348941735696,1293
263,1,22,1.0,0.26759021970270175,1293
264,1,26,1.0,0.2662522686041882,1293
265,1,20,1.0,0.2649210072611673,1293
266,1,28,1.0,0.26359640222486147,1293
267,1,28,1.0,0.26227842021373715,1293
268,1,22,1.0,0.2609670281126685,1293
269,1,36,1.0,0.25966219297210513,1293
270,1,26,1.0,0.2583638820072446,1293
271,1,26,1.0,0.2570720625972084,1293
272,1,26,1.0,0.25578670228422234,1293
273,1,28,1.0,0.25450776877280124,1293
274,1,30,1.0,0.2532352299289372,1293
275,1,26,1.0,0.2519690537792925,1293
276,1,24,1.0,0.2507092085103961,1293
277,1,24,1.0,0.2494556624678441,1293
278,1,26,1.0,0.24820838415550486,1293
279,1,28,1.0,0.24696734223472733,1293
280,1,34,1.0,0.2457325055235537,1293
281,1,26,1.0,0.24450384299593592,1293
282,1,24,1.0,0.24328132378095624,1293
283,1,22,1.0,0.24206491716205145,1293
284,1,30,1.0,0.2408545925762412,1293
285,1,32,1.0,0.23965031961336,1293
286,1,24,1.0,0.2384520680152932,1293
287,1,22,1.0,0.23725980767521673,1293
288,1,28,1.0,0.23607350863684065,1293
289,1,22,1.0,0.23489314109365644,1293
290,1,26,1.0,0.23371867538818816,1293
291,1,26,1.0,0.23255008201124722,1293
292,1,24,1.0,0.231387331601191,1293
293,1,30,1.0,0.23023039494318503,1293
294,1,24,1.0,0.2290792429684691,1293
295,1,30,1.0,0.22793384675362674,1293
296,1,28,1.0,0.22679417751985861,1293
297,1,26,1.0,0.22566020663225933,1293
298,1,26,1.0,0.22453190559909803,1293
299,1,24,1.0,0.22340924607110255,1293
300,1,28,1.0,0.22229219984074702,1293
301,1,30,1.0,0.2211807388415433,1293
302,1,32,1.0,0.22007483514733558,1293
303,1,26,1.0,0.2189744609715989,1293
304,1,30,1.0,0.2178795886667409,1293
305,1,28,1.0,0.2167901907234072,1293
306,1,34,1.0,0.21570623976979014,1293
307,1,20,1.0,0.21462770857094118,1293
308,1,22,1.0,0.21355457002808648,1293
309,1,28,1.0,0.21248679717794605,1293
310,1,26,1.0,0.21142436319205632,1293
311,1,22,1.0,0.21036724137609603,1293
312,1,32,1.0,0.20931540516921554,1293
313,1,32,1.0,0.20826882814336947,1293
314,1,26,1.0,0.20722748400265262,1293
315,1,22,1.0,0.20619134658263935,1293
316,1,26,1.0,0.20516038984972615,1293
317,1,28,1.0,0.2041345879004775,1293
318,1,22,1.0,0.2031139149609751,1293
319,1,26,1.0,0.20209834538617025,1293
320,1,22,1.0,0.2010878536592394,1293
321,1,24,1.0,0.2000824143909432,1293
322,1,26,1.0,0.19908200231898848,1293
323,1,22,1.0,0.19808659230739353,1293
324,1,26,1.0,0.19709615934585656,1293
325,1,22,1.0,0.19611067854912728,1293
326,1,24,1.0,0.19513012515638165,1293
327,1,22,1.0,0.19415447453059972,1293
328,1,26,1.0,0.19318370215794672,1293
329,1,24,1.0,0.192217783647157,1293
330,1,30,1.0,0.1912566947289212,1293
331,1,28,1.0,0.1903004112552766,1293
332,1,22,1.0,0.18934890919900021,1293
333,1,24,1.0,0.18840216465300522,1293
334,1,30,1.0,0.18746015382974018,1293
335,1,32,1.0,0.1865228530605915,1293
336,1,30,1.0,0.18559023879528855,1293
337,1,22,1.0,0.1846622876013121,1293
338,1,28,1.0,0.18373897616330553,1293
339,1,28,1.0,0.182820281282489,1293
