episode,done,steps,return,epsilon,num_states
0,1,1482,1.0,1.0,185
1,0,2000,0.0,0.995,308
2,0,2000,0.0,0.990025,394
3,0,2000,0.0,0.985074875,504
4,0,2000,0.0,0.9801495006250001,538
5,0,2000,0.0,0.9752487531218751,591
6,1,686,1.0,0.9703725093562657,598
7,0,2000,0.0,0.9655206468094844,705
8,0,2000,0.0,0.960693043575437,746
9,0,2000,0.0,0.9558895783575597,867
10,0,2000,0.0,0.9511101304657719,922
11,1,524,1.0,0.946354579813443,922
12,0,2000,0.0,0.9416228069143757,942
13,1,152,1.0,0.9369146928798039,942
14,0,2000,0.0,0.9322301194154049,965
15,0,2000,0.0,0.9275689688183278,1005
16,0,2000,0.0,0.9229311239742362,1028
17,0,2000,0.0,0.918316468354365,1075
18,1,1384,1.0,0.9137248860125932,1075
19,1,852,1.0,0.9091562615825302,1096
20,1,430,1.0,0.9046104802746175,1096
21,0,2000,0.0,0.9000874278732445,1180
22,1,920,1.0,0.8955869907338783,1200
23,0,2000,0.0,0.8911090557802088,1210
24,0,2000,0.0,0.8866535105013078,1222
25,1,1194,1.0,0.8822202429488013,1222
26,1,1066,1.0,0.8778091417340573,1225
27,1,868,1.0,0.8734200960253871,1238
28,1,304,1.0,0.8690529955452602,1238
29,1,314,1.0,0.8647077305675338,1238
30,1,236,1.0,0.8603841919146962,1238
31,1,92,1.0,0.8560822709551227,1238
32,1,1562,1.0,0.851801859600347,1269
33,1,264,1.0,0.8475428503023453,1269
34,1,222,1.0,0.8433051360508336,1269
35,1,842,1.0,0.8390886103705794,1273
36,1,1466,1.0,0.8348931673187264,1288
37,0,2000,0.0,0.8307187014821328,1314
38,1,548,1.0,0.8265651079747222,1314
39,1,86,1.0,0.8224322824348486,1314
40,1,150,1.0,0.8183201210226743,1314
41,1,426,1.0,0.8142285204175609,1314
42,1,732,1.0,0.810157377815473,1328
43,1,234,1.0,0.8061065909263957,1328
44,1,58,1.0,0.8020760579717637,1328
45,1,330,1.0,0.798065677681905,1328
46,1,486,1.0,0.7940753492934954,1328
47,1,114,1.0,0.7901049725470279,1328
48,1,96,1.0,0.7861544476842928,1328
49,1,552,1.0,0.7822236754458713,1340
50,1,254,1.0,0.778312557068642,1340
51,1,370,1.0,0.7744209942832988,1340
52,1,172,1.0,0.7705488893118823,1340
53,1,238,1.0,0.7666961448653229,1340
54,1,42,1.0,0.7628626641409962,1340
55,1,104,1.0,0.7590483508202912,1340
56,1,70,1.0,0.7552531090661897,1340
57,1,204,1.0,0.7514768435208588,1340
58,1,244,1.0,0.7477194593032545,1340
59,1,94,1.0,0.7439808620067382,1340
60,1,216,1.0,0.7402609576967045,1340
61,1,80,1.0,0.736559652908221,1340
62,1,118,1.0,0.7328768546436799,1340
63,1,104,1.0,0.7292124703704616,1340
64,1,134,1.0,0.7255664080186093,1340
65,1,96,1.0,0.7219385759785162,1340
66,1,66,1.0,0.7183288830986236,1340
67,1,158,1.0,0.7147372386831305,1340
68,1,172,1.0,0.7111635524897149,1341
69,1,70,1.0,0.7076077347272662,1341
70,1,88,1.0,0.7040696960536299,1341
71,1,206,1.0,0.7005493475733617,1341
72,1,76,1.0,0.697046600835495,1341
73,1,90,1.0,0.6935613678313175,1341
74,1,62,1.0,0.6900935609921609,1341
75,1,294,1.0,0.6866430931872001,1341
76,1,70,1.0,0.6832098777212641,1341
77,1,72,1.0,0.6797938283326578,1341
78,1,68,1.0,0.6763948591909945,1341
79,1,114,1.0,0.6730128848950395,1341
80,1,96,1.0,0.6696478204705644,1341
81,1,166,1.0,0.6662995813682115,1341
82,1,72,1.0,0.6629680834613705,1341
83,1,42,1.0,0.6596532430440636,1341
84,1,178,1.0,0.6563549768288433,1341
85,1,58,1.0,0.653073201944699,1341
86,1,134,1.0,0.6498078359349755,1341
87,1,40,1.0,0.6465587967553006,1341
88,1,34,1.0,0.6433260027715241,1341
89,1,102,1.0,0.6401093727576664,1341
90,1,60,1.0,0.6369088258938781,1341
91,1,54,1.0,0.6337242817644086,1341
92,1,88,1.0,0.6305556603555866,1341
93,1,40,1.0,0.6274028820538087,1341
94,1,58,1.0,0.6242658676435396,1341
95,1,44,1.0,0.6211445383053219,1341
96,1,110,1.0,0.6180388156137953,1341
97,1,78,1.0,0.6149486215357263,1341
98,1,56,1.0,0.6118738784280476,1341
99,1,52,1.0,0.6088145090359074,1341
100,1,106,1.0,0.6057704364907278,1341
101,1,68,1.0,0.6027415843082742,1341
102,1,64,1.0,0.5997278763867329,1341
103,1,38,1.0,0.5967292370047992,1341
104,1,52,1.0,0.5937455908197752,1341
105,1,36,1.0,0.5907768628656763,1341
106,1,54,1.0,0.5878229785513479,1341
107,1,86,1.0,0.5848838636585911,1341
108,1,100,1.0,0.5819594443402982,1341
109,1,34,1.0,0.5790496471185967,1341
110,1,50,1.0,0.5761543988830038,1341
111,1,62,1.0,0.5732736268885887,1341
112,1,58,1.0,0.5704072587541458,1341
113,1,56,1.0,0.567555222460375,1341
114,1,76,1.0,0.5647174463480732,1341
115,1,64,1.0,0.5618938591163328,1341
116,1,82,1.0,0.5590843898207511,1341
117,1,38,1.0,0.5562889678716474,1341
118,1,66,1.0,0.5535075230322891,1341
119,1,32,1.0,0.5507399854171277,1341
