episode,done,steps,return,epsilon,num_states
0,1,1904,1.0,1.0,137
1,1,1184,1.0,0.995,174
2,0,2000,0.0,0.990025,241
3,1,1658,1.0,0.985074875,310
4,0,2000,0.0,0.9801495006250001,338
5,1,978,1.0,0.9752487531218751,344
6,0,2000,0.0,0.9703725093562657,345
7,1,1002,1.0,0.9655206468094844,345
8,1,132,1.0,0.960693043575437,348
9,1,224,1.0,0.9558895783575597,348
10,1,594,1.0,0.9511101304657719,366
11,1,458,1.0,0.946354579813443,366
12,1,840,1.0,0.9416228069143757,370
13,1,126,1.0,0.9369146928798039,370
14,1,382,1.0,0.9322301194154049,371
15,1,456,1.0,0.9275689688183278,372
16,1,862,1.0,0.9229311239742362,380
17,1,256,1.0,0.918316468354365,380
18,1,414,1.0,0.9137248860125932,386
19,1,220,1.0,0.9091562615825302,386
20,1,96,1.0,0.9046104802746175,387
21,1,144,1.0,0.9000874278732445,387
22,1,210,1.0,0.8955869907338783,391
23,1,122,1.0,0.8911090557802088,391
24,1,268,1.0,0.8866535105013078,392
25,1,50,1.0,0.8822202429488013,392
26,1,244,1.0,0.8778091417340573,393
27,1,134,1.0,0.8734200960253871,393
28,1,172,1.0,0.8690529955452602,393
29,1,474,1.0,0.8647077305675338,393
30,1,466,1.0,0.8603841919146962,401
31,1,256,1.0,0.8560822709551227,401
32,1,126,1.0,0.851801859600347,401
33,1,62,1.0,0.8475428503023453,401
34,1,598,1.0,0.8433051360508336,401
35,1,50,1.0,0.8390886103705794,401
36,1,54,1.0,0.8348931673187264,401
37,1,276,1.0,0.8307187014821328,401
38,1,72,1.0,0.8265651079747222,401
39,1,324,1.0,0.8224322824348486,401
40,1,20,1.0,0.8183201210226743,401
41,1,52,1.0,0.8142285204175609,401
42,1,248,1.0,0.810157377815473,401
43,1,86,1.0,0.8061065909263957,401
44,1,136,1.0,0.8020760579717637,401
45,1,306,1.0,0.798065677681905,401
46,1,174,1.0,0.7940753492934954,401
47,1,116,1.0,0.7901049725470279,401
48,1,102,1.0,0.7861544476842928,401
49,1,164,1.0,0.7822236754458713,401
50,1,112,1.0,0.778312557068642,401
51,1,102,1.0,0.7744209942832988,403
52,1,58,1.0,0.7705488893118823,403
53,1,104,1.0,0.7666961448653229,403
54,1,76,1.0,0.7628626641409962,403
55,1,96,1.0,0.7590483508202912,403
56,1,242,1.0,0.7552531090661897,403
57,1,84,1.0,0.7514768435208588,403
58,1,54,1.0,0.7477194593032545,403
59,1,98,1.0,0.7439808620067382,403
60,1,92,1.0,0.7402609576967045,403
61,1,60,1.0,0.736559652908221,403
62,1,66,1.0,0.7328768546436799,403
63,1,58,1.0,0.7292124703704616,403
64,1,136,1.0,0.7255664080186093,403
65,1,64,1.0,0.7219385759785162,403
66,1,42,1.0,0.7183288830986236,403
67,1,130,1.0,0.7147372386831305,403
68,1,82,1.0,0.7111635524897149,403
69,1,144,1.0,0.7076077347272662,403
70,1,48,1.0,0.7040696960536299,403
71,1,100,1.0,0.7005493475733617,403
72,1,152,1.0,0.697046600835495,403
73,1,82,1.0,0.6935613678313175,403
74,1,68,1.0,0.6900935609921609,403
75,1,66,1.0,0.6866430931872001,403
76,1,48,1.0,0.6832098777212641,403
77,1,74,1.0,0.6797938283326578,403
78,1,46,1.0,0.6763948591909945,403
79,1,106,1.0,0.6730128848950395,403
80,1,54,1.0,0.6696478204705644,403
81,1,52,1.0,0.6662995813682115,403
82,1,24,1.0,0.6629680834613705,403
83,1,42,1.0,0.6596532430440636,403
84,1,78,1.0,0.6563549768288433,403
85,1,54,1.0,0.653073201944699,403
86,1,72,1.0,0.6498078359349755,403
87,1,58,1.0,0.6465587967553006,403
88,1,58,1.0,0.6433260027715241,403
89,1,64,1.0,0.6401093727576664,403
90,1,20,1.0,0.6369088258938781,403
91,1,96,1.0,0.6337242817644086,403
92,1,76,1.0,0.6305556603555866,403
93,1,40,1.0,0.6274028820538087,403
94,1,54,1.0,0.6242658676435396,403
95,1,44,1.0,0.6211445383053219,403
96,1,88,1.0,0.6180388156137953,403
97,1,50,1.0,0.6149486215357263,403
98,1,38,1.0,0.6118738784280476,403
99,1,110,1.0,0.6088145090359074,403
100,1,46,1.0,0.6057704364907278,403
101,1,30,1.0,0.6027415843082742,403
102,1,54,1.0,0.5997278763867329,403
103,1,54,1.0,0.5967292370047992,403
104,1,44,1.0,0.5937455908197752,403
105,1,44,1.0,0.5907768628656763,403
106,1,24,1.0,0.5878229785513479,403
107,1,48,1.0,0.5848838636585911,403
108,1,36,1.0,0.5819594443402982,403
109,1,20,1.0,0.5790496471185967,403
110,1,74,1.0,0.5761543988830038,403
111,1,32,1.0,0.5732736268885887,403
112,1,62,1.0,0.5704072587541458,403
113,1,30,1.0,0.567555222460375,403
114,1,32,1.0,0.5647174463480732,403
115,1,42,1.0,0.5618938591163328,403
116,1,32,1.0,0.5590843898207511,403
117,1,38,1.0,0.5562889678716474,403
118,1,42,1.0,0.5535075230322891,403
119,1,34,1.0,0.5507399854171277,403
120,1,30,1.0,0.547986285490042,403
121,1,48,1.0,0.5452463540625918,403
122,1,54,1.0,0.5425201222922789,403
123,1,48,1.0,0.5398075216808175,403
124,1,24,1.0,0.5371084840724134,403
125,1,40,1.0,0.5344229416520513,403
126,1,40,1.0,0.531750826943791,403
127,1,82,1.0,0.5290920728090721,403
128,1,26,1.0,0.5264466124450268,403
