episode,done,steps,return,epsilon,num_states
0,1,1978,1.0,1.0,184
1,0,2000,0.0,0.999,325
2,0,2000,0.0,0.998001,385
3,0,2000,0.0,0.997002999,432
4,1,1678,1.0,0.996005996001,504
5,0,2000,0.0,0.995009990004999,567
6,0,2000,0.0,0.994014980014994,628
7,0,2000,0.0,0.993020965034979,765
8,0,2000,0.0,0.9920279440699441,805
9,0,2000,0.0,0.9910359161258742,823
10,0,2000,0.0,0.9900448802097482,855
11,0,2000,0.0,0.9890548353295385,857
12,1,1896,1.0,0.988065780494209,911
13,0,2000,0.0,0.9870777147137147,911
14,0,2000,0.0,0.986090636999001,939
15,0,2000,0.0,0.9851045463620021,998
16,1,1420,1.0,0.98411944181564,1045
17,0,2000,0.0,0.9831353223738244,1076
18,0,2000,0.0,0.9821521870514506,1077
19,1,1970,1.0,0.9811700348643991,1128
20,0,2000,0.0,0.9801888648295347,1147
21,0,2000,0.0,0.9792086759647052,1168
22,0,2000,0.0,0.9782294672887405,1186
23,0,2000,0.0,0.9772512378214517,1204
24,0,2000,0.0,0.9762739865836303,1211
25,0,2000,0.0,0.9752977125970467,1217
26,0,2000,0.0,0.9743224148844496,1227
27,1,1722,1.0,0.9733480924695651,1263
28,1,1584,1.0,0.9723747443770956,1278
29,1,236,1.0,0.9714023696327185,1278
30,0,2000,0.0,0.9704309672630859,1278
31,0,2000,0.0,0.9694605362958227,1281
32,1,1252,1.0,0.9684910757595269,1281
33,0,2000,0.0,0.9675225846837673,1281
34,1,768,1.0,0.9665550620990835,1281
35,0,2000,0.0,0.9655885070369844,1286
36,1,1012,1.0,0.9646229185299474,1286
37,0,2000,0.0,0.9636582956114175,1288
38,0,2000,0.0,0.9626946373158061,1311
39,0,2000,0.0,0.9617319426784903,1327
40,0,2000,0.0,0.9607702107358118,1327
41,0,2000,0.0,0.959809440525076,1327
42,1,194,1.0,0.9588496310845509,1327
43,0,2000,0.0,0.9578907814534664,1330
44,1,1614,1.0,0.9569328906720129,1334
45,0,2000,0.0,0.9559759577813409,1337
46,1,966,1.0,0.9550199818235596,1338
47,0,2000,0.0,0.9540649618417361,1338
48,1,1578,1.0,0.9531108968798944,1339
49,1,710,1.0,0.9521577859830145,1339
50,0,2000,0.0,0.9512056281970315,1358
51,0,2000,0.0,0.9502544225688344,1417
52,1,1852,1.0,0.9493041681462656,1420
53,1,250,1.0,0.9483548639781193,1420
54,0,2000,0.0,0.9474065091141411,1420
55,0,2000,0.0,0.946459102605027,1420
56,0,2000,0.0,0.9455126435024219,1421
57,0,2000,0.0,0.9445671308589195,1421
58,0,2000,0.0,0.9436225637280606,1421
59,0,2000,0.0,0.9426789411643326,1421
60,1,902,1.0,0.9417362622231683,1431
61,1,1604,1.0,0.9407945259609451,1431
62,0,2000,0.0,0.9398537314349842,1442
63,0,2000,0.0,0.9389138777035492,1442
64,1,534,1.0,0.9379749638258457,1442
65,0,2000,0.0,0.9370369888620198,1442
66,1,754,1.0,0.9360999518731578,1442
67,0,2000,0.0,0.9351638519212846,1445
68,0,2000,0.0,0.9342286880693633,1445
69,1,830,1.0,0.933294459381294,1445
70,0,2000,0.0,0.9323611649219127,1445
71,0,2000,0.0,0.9314288037569908,1445
72,1,954,1.0,0.9304973749532338,1445
73,0,2000,0.0,0.9295668775782806,1446
74,0,2000,0.0,0.9286373107007023,1450
75,1,970,1.0,0.9277086733900016,1450
76,0,2000,0.0,0.9267809647166116,1450
77,1,106,1.0,0.925854183751895,1450
78,1,918,1.0,0.9249283295681431,1450
79,0,2000,0.0,0.9240034012385749,1450
80,0,2000,0.0,0.9230793978373364,1450
81,1,1172,1.0,0.9221563184394991,1450
82,0,2000,0.0,0.9212341621210596,1451
83,1,1672,1.0,0.9203129279589385,1451
84,1,666,1.0,0.9193926150309796,1451
85,1,786,1.0,0.9184732224159486,1451
86,1,1644,1.0,0.9175547491935327,1456
87,1,664,1.0,0.9166371944443392,1456
88,1,1356,1.0,0.9157205572498949,1456
89,1,248,1.0,0.914804836692645,1456
90,1,656,1.0,0.9138900318559524,1456
91,1,1738,1.0,0.9129761418240965,1456
92,1,1838,1.0,0.9120631656822724,1459
93,1,1476,1.0,0.9111511025165902,1459
94,1,1284,1.0,0.9102399514140735,1459
95,1,582,1.0,0.9093297114626595,1459
96,1,1526,1.0,0.9084203817511969,1459
97,1,616,1.0,0.9075119613694457,1459
98,1,1234,1.0,0.9066044494080763,1460
99,0,2000,0.0,0.9056978449586682,1460
100,1,650,1.0,0.9047921471137096,1460
101,1,1350,1.0,0.9038873549665959,1460
102,1,1348,1.0,0.9029834676116293,1460
103,0,2000,0.0,0.9020804841440176,1460
104,1,540,1.0,0.9011784036598737,1460
105,1,170,1.0,0.9002772252562138,1460
106,1,364,1.0,0.8993769480309576,1460
107,0,2000,0.0,0.8984775710829266,1460
108,1,1650,1.0,0.8975790935118436,1460
109,1,606,1.0,0.8966815144183318,1460
110,1,592,1.0,0.8957848329039134,1460
111,0,2000,0.0,0.8948890480710096,1460
112,0,2000,0.0,0.8939941590229386,1460
113,1,604,1.0,0.8931001648639156,1460
114,1,832,1.0,0.8922070646990518,1460
115,1,1852,1.0,0.8913148576343527,1460
116,0,2000,0.0,0.8904235427767183,1460
117,1,1922,1.0,0.8895331192339416,1460
118,0,2000,0.0,0.8886435861147077,1461
119,1,1490,1.0,0.887754942528593,1461
120,1,436,1.0,0.8868671875860644,1464
